recipe,ingredient,recipe_url,cleaned,order,technique
Barraskiloak parrillan,Barraskiloak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barraskiloak_parrillan,Barraskiloa parrillan,,
Basa arroza arroz zuriarekin,Arroza,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basa_arroza,_arroz_zuriarekin",Basa arroza arroz zuria,,
Baserriko ogi tosta berezia,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baserriko_ogi_tosta_berezia,Baserriko ogi tosta berezia,Lehen platerak,
Basmati arroza entsaladan,"Oliba olioa, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basmati_arroza_entsaladan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basmati_arroza_entsaladan",Basmati arroza entsaladan,Lehen platerak,Entsalada
Baso fruituen saltsa,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baso_fruituen_saltsa,Baso fruituen saltsa,,
Basurdea saltsan,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basurdea_saltsan,Basurdea saltsan,Bigarren platerak,
Berdela eskabetxean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_eskabetxean,Berdela eskabetxean,,
Berdela labean piperradarekin,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Berdela_labean_piperradarekin,Berdela labean piperrada,Bigarren platerak,Labekatu
Bexamelaz eginiko haragi betegaia,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bexamelaz_eginiko_haragi_betegaia,Bexamelaz eginiko haragi betegaia,,
Bijiliako txitxirioak,Lekaleak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bijiliako_Txitxirioak,Bijiliako txitxirioa,,
Biribilkia saltsan,Haragia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Biribilkia_saltsan,Biribilkia saltsan,,
Bisigua labean,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bisigua_labean,Bisigua labean,,
Bizkaitar saltsa,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Bizkaitar_saltsa,Bizkait saltsa,,
