recipe,ingredient,recipe_url,cleaned,order,technique,origin
Barazki menestra,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra,Barazki menestra,Lehen platerak,,Bertakoa
Barazki menestra2,"Oliba olioa, Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_menestra_2",Barazki menestra2,Lehen platerak,,Bertakoa
Barazki moussaka,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_moussaka,Barazki moussaka,Lehen platerak,,Europa
Barazki panatxea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_panatxea,Barazki panatxea,Lehen platerak,,Frantzia
Barazki purea,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_purea,Barazki purea,Lehen platerak,Kremak,
Barazki salda,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_salda,Barazki salda,Lehen platerak,Zopak,
Barazki salteatua,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_salteatua,Barazki salteatua,Lehen platerak,Frijitu,
Barazki saltsa,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_saltsa,Barazki saltsa,Lehen platerak,,
Barazki tortilla,"Barazkia, Arrautza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazki_tortilla",Barazki tortilla,Lehen platerak,Frijitu,
Barazkia tenpuran frijitua,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazkia_tenpuran_frijitua,Barazkia tenpuran frijitua,Lehen platerak,Frijitu,
Barazkiak dadotean sueztituak,Barazkia,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barazkiak_dadotean_sueztituak,Barazkia dadotean sueztitua,Lehen platerak,Sueztitu,
Barbarin arraintxoak plantxan ziazerba eta otarrainxkekin,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barbarin_arraintxoak_plantxan_ziazerba_eta_otarrainxkekin,Barbarin arraintxoa plantxan ziazerba otarrainxkekin,Bigarren platerak,Plantxan,
Barbarin frijituak,Arraina,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barbarin_frijituak,Barbarin frijitua,Bigarren platerak,Frijitu,
Barraskilo salteatuak,Barraskiloak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barraskilo_salteatuak,Barraskilo salteatua,Bigarren platerak,Frijitu,
Barraskiloak bizkaitar erara,Barraskiloak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barraskiloak_bizkaitar_erara,Barraskiloa bizkait,Bigarren platerak,,Bertakoa
Barraskiloak parrillan,Barraskiloak,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Barraskiloak_parrillan,Barraskiloa parrillan,Bigarren platerak,Plantxan,
Basa arroza arroz zuriarekin,Arroza,"https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basa_arroza,_arroz_zuriarekin",Basa arroza arroz zuria,Lehen platerak,,Asia
Baserriko ogi tosta berezia,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baserriko_ogi_tosta_berezia,Baserriko ogi tosta berezia,Lehen platerak,,Bertakoa
Basmati arroza entsaladan,"Oliba olioa, Arroza","https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basmati_arroza_entsaladan, https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basmati_arroza_entsaladan",Basmati arroza entsaladan,Lehen platerak,Entsalada,Asia
Baso fruituen saltsa,Fruta,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Baso_fruituen_saltsa,Baso fruituen saltsa,Azkenburukoak,,
Basurdea saltsan,Oliba olioa,https://eu.wikibooks.org/wiki/Sukaldaritza_liburua/Errezetak/Basurdea_saltsan,Basurdea saltsan,Bigarren platerak,,Espainia
